Age,Gender,MaritalStatus,IncomeLevel,InteractionDate,InteractionType,ResolutionStatus,LastLoginDate,LoginFrequency,ServiceUsage,AmountSpent,ProductCategory,MonthYear,ChurnStatus,IncomeLevelClass
50.0,F,Single,Low,2022-11-23,Complaint,Resolved,2023-07-15,19.0,Online Banking,471.18,Furniture,2022-01,0.0,1
49.0,M,Divorced,Medium,2022-02-26,Inquiry,Unresolved,2023-10-31,3.0,Mobile App,179.0,Groceries,2022-06,1.0,2
28.0,M,Widowed,Medium,2022-04-01,Inquiry,Unresolved,2023-02-16,6.0,Mobile App,178.78,Electronics,2022-09,0.0,2
41.0,F,Widowed,Low,2022-11-16,Inquiry,Resolved,2023-10-02,20.0,Mobile App,334.62,Books,2022-06,0.0,1
53.0,F,Married,Low,2022-04-18,Feedback,Unresolved,2023-01-20,22.0,Online Banking,462.0,Groceries,2022-03,0.0,1
29.0,F,Single,Low,2022-06-25,Complaint,Unresolved,2023-08-18,33.0,Website,163.78,Books,2022-09,0.0,1
68.0,F,Married,Low,2022-02-27,Complaint,Unresolved,2023-08-20,14.0,Mobile App,426.06,Books,2022-12,0.0,1
46.0,F,Divorced,High,2022-11-03,Feedback,Unresolved,2023-07-20,44.0,Online Banking,347.37,Groceries,2022-10,0.0,3
52.0,M,Single,High,2022-01-12,Feedback,Resolved,2023-04-17,9.0,Online Banking,87.1,Electronics,2022-11,0.0,3
18.0,M,Married,Medium,2022-11-21,Complaint,Resolved,2023-12-11,45.0,Online Banking,173.13,Electronics,2022-09,0.0,2
18.0,F,Single,High,2022-12-07,Complaint,Unresolved,2023-03-02,25.0,Mobile App,54.17,Clothing,2022-07,0.0,3
54.0,M,Single,Low,2022-07-17,Inquiry,Unresolved,2023-12-27,47.0,Website,164.72,Books,2022-08,1.0,1
23.0,F,Married,High,2022-01-21,Complaint,Unresolved,2023-08-27,16.0,Mobile App,442.99,Furniture,2022-06,0.0,3
56.0,M,Married,Low,2022-06-08,Feedback,Resolved,2023-05-26,7.0,Mobile App,412.2,Furniture,2022-04,0.0,1
58.0,F,Single,High,2022-03-27,Feedback,Unresolved,2023-06-03,11.0,Online Banking,186.37,Groceries,2022-05,0.0,3
35.0,F,Divorced,Low,2022-04-10,Complaint,Resolved,2023-09-25,27.0,Mobile App,150.22,Books,2022-11,0.0,1
33.0,M,Widowed,Medium,2022-12-27,Inquiry,Resolved,2023-08-17,40.0,Online Banking,478.59,Groceries,2022-06,0.0,2
22.0,F,Single,Medium,2022-03-02,Complaint,Resolved,2023-07-23,17.0,Online Banking,335.44,Clothing,2022-10,0.0,2
59.0,F,Divorced,High,2022-04-29,Inquiry,Resolved,2023-07-25,5.0,Website,468.35,Furniture,2022-01,1.0,3
60.0,F,Single,Low,2022-05-21,Inquiry,Resolved,2023-11-13,29.0,Mobile App,213.22,Groceries,2022-02,0.0,1
49.0,F,Married,Medium,2022-06-06,Complaint,Unresolved,2023-03-15,10.0,Mobile App,156.21,Groceries,2022-06,0.0,2
19.0,F,Divorced,Low,2022-01-26,Inquiry,Unresolved,2023-08-17,47.0,Online Banking,283.39,Books,2022-03,1.0,1
19.0,F,Divorced,High,2022-10-05,Feedback,Resolved,2023-04-25,25.0,Online Banking,383.9,Electronics,2022-11,1.0,3
57.0,M,Single,Low,2022-01-21,Inquiry,Unresolved,2023-10-27,24.0,Online Banking,160.79,Books,2022-04,1.0,1
59.0,M,Widowed,Low,2022-04-13,Feedback,Resolved,2023-02-19,44.0,Mobile App,273.54,Furniture,2022-01,0.0,1
53.0,F,Single,High,2022-01-08,Complaint,Unresolved,2023-06-17,12.0,Mobile App,68.63,Groceries,2022-05,1.0,3
56.0,F,Widowed,Medium,2022-01-02,Complaint,Resolved,2023-05-09,5.0,Website,406.29,Groceries,2022-01,1.0,2
29.0,M,Divorced,High,2022-08-15,Inquiry,Resolved,2023-10-15,29.0,Online Banking,151.88,Furniture,2022-08,0.0,3
64.0,M,Widowed,Low,2022-03-02,Complaint,Resolved,2023-10-07,35.0,Mobile App,185.6,Clothing,2022-12,0.0,1
36.0,M,Married,High,2022-08-21,Inquiry,Resolved,2023-04-20,23.0,Online Banking,52.67,Books,2022-11,1.0,3
45.0,M,Widowed,High,2022-11-18,Inquiry,Resolved,2023-06-09,32.0,Mobile App,352.99,Books,2022-07,0.0,3
18.0,F,Widowed,Low,2022-11-01,Complaint,Unresolved,2023-12-03,40.0,Website,250.51,Furniture,2022-11,1.0,1
32.0,F,Divorced,High,2022-11-23,Inquiry,Unresolved,2023-05-08,19.0,Mobile App,154.7,Books,2022-11,0.0,3
53.0,M,Widowed,Medium,2022-01-28,Complaint,Resolved,2023-12-31,25.0,Mobile App,470.53,Clothing,2022-08,0.0,2
30.0,M,Divorced,Medium,2022-03-21,Feedback,Unresolved,2023-11-30,45.0,Online Banking,97.06,Electronics,2022-08,0.0,2
60.0,M,Married,High,2022-04-22,Feedback,Unresolved,2023-08-08,37.0,Mobile App,159.18,Furniture,2022-12,0.0,3
38.0,M,Married,Low,2022-12-10,Inquiry,Resolved,2023-10-18,1.0,Website,147.82,Furniture,2022-09,0.0,1
29.0,F,Single,High,2022-03-01,Complaint,Unresolved,2023-11-22,43.0,Website,334.33,Books,2022-11,0.0,3
22.0,M,Single,High,2022-09-04,Inquiry,Resolved,2023-02-08,13.0,Online Banking,67.2,Groceries,2022-06,0.0,3
24.0,M,Single,Medium,2022-05-24,Inquiry,Unresolved,2023-09-06,12.0,Mobile App,92.54,Electronics,2022-09,0.0,2
22.0,M,Married,Medium,2022-01-14,Feedback,Resolved,2023-05-30,47.0,Online Banking,344.04,Electronics,2022-07,0.0,2
65.0,F,Widowed,Low,2022-10-06,Feedback,Unresolved,2023-02-03,43.0,Mobile App,431.79,Books,2022-07,0.0,1
21.0,F,Divorced,Low,2022-03-28,Inquiry,Resolved,2023-07-01,37.0,Mobile App,121.62,Furniture,2022-11,0.0,1
30.0,F,Married,Low,2022-04-07,Complaint,Resolved,2023-10-16,42.0,Mobile App,124.02,Clothing,2022-06,0.0,1
54.0,M,Widowed,High,2022-10-07,Complaint,Resolved,2023-06-27,41.0,Website,444.06,Groceries,2022-07,0.0,3
58.0,F,Single,High,2022-07-30,Complaint,Resolved,2023-06-20,12.0,Online Banking,164.11,Groceries,2022-05,0.0,3
32.0,F,Divorced,High,2022-01-26,Complaint,Unresolved,2023-02-27,36.0,Mobile App,97.23,Furniture,2022-08,0.0,3
33.0,M,Single,High,2022-02-20,Complaint,Unresolved,2023-12-20,38.0,Website,281.73,Books,2022-04,0.0,3
38.0,F,Divorced,Low,2022-04-16,Inquiry,Resolved,2023-05-23,9.0,Mobile App,154.09,Furniture,2022-02,0.0,1
53.0,M,Widowed,Low,2022-08-11,Complaint,Resolved,2023-02-10,14.0,Online Banking,254.22,Books,2022-01,0.0,1
41.0,F,Married,Low,2022-11-28,Feedback,Resolved,2023-06-02,45.0,Online Banking,382.15,Furniture,2022-10,1.0,1
33.0,F,Single,High,2022-02-03,Feedback,Resolved,2023-01-15,35.0,Online Banking,477.83,Furniture,2022-05,0.0,3
31.0,M,Married,High,2022-12-01,Complaint,Resolved,2023-01-14,32.0,Online Banking,19.8,Groceries,2022-07,0.0,3
39.0,M,Widowed,Low,2022-10-21,Feedback,Unresolved,2023-04-27,46.0,Mobile App,125.66,Furniture,2022-12,0.0,1
66.0,F,Widowed,Medium,2022-05-07,Inquiry,Resolved,2023-03-23,3.0,Online Banking,11.82,Clothing,2022-12,1.0,2
67.0,F,Widowed,Low,2022-10-30,Feedback,Resolved,2023-12-24,30.0,Website,345.75,Groceries,2022-07,0.0,1
23.0,M,Married,High,2022-09-03,Complaint,Unresolved,2023-07-20,49.0,Mobile App,191.96,Electronics,2022-12,0.0,3
59.0,F,Married,High,2022-09-27,Feedback,Resolved,2023-01-27,7.0,Online Banking,324.99,Clothing,2022-02,1.0,3
53.0,M,Divorced,Low,2022-12-25,Feedback,Resolved,2023-03-24,1.0,Mobile App,488.22,Clothing,2022-11,1.0,1
18.0,M,Married,Medium,2022-04-22,Inquiry,Unresolved,2023-04-28,20.0,Mobile App,39.34,Groceries,2022-10,0.0,2
49.0,M,Married,Medium,2022-01-03,Inquiry,Resolved,2023-10-10,25.0,Website,485.84,Clothing,2022-09,1.0,2
23.0,F,Widowed,High,2022-10-16,Inquiry,Unresolved,2023-06-17,33.0,Website,122.1,Groceries,2022-09,1.0,3
48.0,F,Divorced,High,2022-06-08,Inquiry,Unresolved,2023-10-16,35.0,Website,315.55,Furniture,2022-04,0.0,3
18.0,F,Married,High,2022-05-03,Complaint,Unresolved,2023-04-12,44.0,Online Banking,462.1,Books,2022-04,0.0,3
67.0,F,Married,Low,2022-05-21,Inquiry,Resolved,2023-08-02,24.0,Website,97.31,Books,2022-02,0.0,1
68.0,F,Widowed,High,2022-07-20,Feedback,Unresolved,2023-09-21,14.0,Mobile App,217.3,Groceries,2022-04,0.0,3
54.0,M,Married,High,2022-11-13,Inquiry,Unresolved,2023-08-20,39.0,Mobile App,64.35,Books,2022-03,0.0,3
52.0,F,Widowed,High,2022-05-14,Inquiry,Unresolved,2023-12-25,44.0,Online Banking,153.58,Books,2022-03,0.0,3
66.0,M,Divorced,Medium,2022-12-11,Complaint,Unresolved,2023-10-01,34.0,Online Banking,380.48,Groceries,2022-08,0.0,2
47.0,M,Widowed,Medium,2022-08-08,Inquiry,Resolved,2023-03-29,18.0,Mobile App,247.99,Furniture,2022-08,1.0,2
21.0,F,Widowed,High,2022-12-05,Feedback,Resolved,2023-02-23,2.0,Online Banking,463.48,Groceries,2022-10,0.0,3
52.0,M,Divorced,Medium,2022-03-05,Inquiry,Unresolved,2023-09-09,38.0,Mobile App,218.65,Clothing,2022-10,0.0,2
60.0,F,Single,Medium,2022-03-09,Inquiry,Resolved,2023-06-14,17.0,Mobile App,89.96,Furniture,2022-05,1.0,2
31.0,M,Widowed,Medium,2022-08-16,Complaint,Unresolved,2023-03-15,23.0,Mobile App,402.9,Books,2022-09,1.0,2
66.0,M,Married,Medium,2022-05-26,Complaint,Resolved,2023-02-19,33.0,Website,159.75,Furniture,2022-02,0.0,2
57.0,M,Widowed,Low,2022-02-02,Inquiry,Unresolved,2023-06-21,28.0,Online Banking,345.79,Groceries,2022-11,0.0,1
39.0,F,Divorced,Medium,2022-01-19,Complaint,Resolved,2023-05-14,15.0,Website,457.01,Books,2022-04,0.0,2
27.0,F,Married,Medium,2022-02-26,Feedback,Resolved,2023-01-18,11.0,Website,273.08,Groceries,2022-01,0.0,2
18.0,F,Divorced,Medium,2022-05-25,Feedback,Unresolved,2023-07-07,23.0,Website,414.86,Books,2022-02,1.0,2
28.0,F,Widowed,Medium,2022-11-07,Complaint,Resolved,2023-03-21,13.0,Website,76.78,Clothing,2022-06,0.0,2
68.0,M,Divorced,Low,2022-12-06,Complaint,Unresolved,2023-02-25,47.0,Mobile App,128.8,Books,2022-12,0.0,1
61.0,F,Divorced,Low,2022-04-08,Complaint,Resolved,2023-09-24,11.0,Website,431.03,Furniture,2022-11,0.0,1
41.0,F,Single,High,2022-04-01,Feedback,Resolved,2023-06-15,36.0,Website,485.5,Groceries,2022-02,0.0,3
20.0,M,Widowed,Medium,2022-08-17,Inquiry,Resolved,2023-04-13,38.0,Mobile App,21.11,Clothing,2022-10,0.0,2
52.0,M,Widowed,Medium,2022-11-11,Inquiry,Resolved,2023-01-05,27.0,Mobile App,330.41,Groceries,2022-09,0.0,2
53.0,F,Widowed,High,2022-12-25,Feedback,Resolved,2023-06-19,18.0,Mobile App,392.9,Books,2022-09,0.0,3
48.0,M,Widowed,Low,2022-12-04,Inquiry,Resolved,2023-11-07,40.0,Mobile App,41.46,Groceries,2022-10,0.0,1
21.0,F,Married,High,2022-04-28,Feedback,Resolved,2023-06-19,38.0,Online Banking,318.48,Books,2022-12,1.0,3
36.0,M,Divorced,Low,2022-06-02,Complaint,Resolved,2023-03-20,34.0,Online Banking,45.91,Furniture,2022-12,0.0,1
64.0,F,Widowed,High,2022-08-17,Complaint,Unresolved,2023-06-03,22.0,Website,207.37,Clothing,2022-07,0.0,3
53.0,M,Married,High,2022-05-10,Inquiry,Resolved,2023-10-21,18.0,Mobile App,288.66,Books,2022-05,0.0,3
38.0,F,Widowed,Medium,2022-09-06,Feedback,Unresolved,2023-06-28,41.0,Online Banking,344.59,Furniture,2022-01,0.0,2
35.0,M,Divorced,High,2022-12-03,Inquiry,Resolved,2023-04-27,18.0,Mobile App,390.78,Electronics,2022-05,0.0,3
68.0,F,Widowed,Low,2022-08-12,Inquiry,Resolved,2023-12-25,13.0,Website,415.81,Electronics,2022-11,0.0,1
45.0,F,Married,Low,2022-04-26,Inquiry,Unresolved,2023-02-18,39.0,Online Banking,191.92,Clothing,2022-07,1.0,1
32.0,F,Married,High,2022-02-28,Inquiry,Unresolved,2023-10-11,16.0,Online Banking,172.02,Groceries,2022-07,0.0,3
59.0,F,Divorced,Low,2022-03-19,Feedback,Resolved,2023-12-12,8.0,Mobile App,348.97,Clothing,2022-02,0.0,1
19.0,F,Widowed,High,2022-07-18,Inquiry,Unresolved,2023-09-02,34.0,Mobile App,57.85,Groceries,2022-02,0.0,3
54.0,F,Married,Medium,2022-04-27,Feedback,Resolved,2023-03-09,29.0,Website,56.85,Electronics,2022-12,0.0,2
28.0,M,Single,Medium,2022-05-23,Complaint,Resolved,2023-02-17,6.0,Online Banking,329.36,Books,2022-01,0.0,2
40.0,F,Widowed,Medium,2022-01-29,Complaint,Resolved,2023-06-29,38.0,Mobile App,467.92,Electronics,2022-07,0.0,2
61.0,M,Single,Medium,2022-03-04,Feedback,Unresolved,2023-06-02,36.0,Mobile App,339.61,Furniture,2022-01,0.0,2
58.0,F,Married,High,2022-12-07,Inquiry,Resolved,2023-09-30,48.0,Mobile App,325.01,Electronics,2022-09,0.0,3
29.0,M,Married,Low,2022-07-15,Inquiry,Resolved,2023-01-26,42.0,Online Banking,183.51,Electronics,2022-11,0.0,1
20.0,F,Divorced,High,2022-10-02,Complaint,Unresolved,2023-04-19,26.0,Mobile App,438.71,Books,2022-08,0.0,3
69.0,M,Divorced,Low,2022-10-27,Feedback,Unresolved,2023-04-08,18.0,Website,25.15,Clothing,2022-02,0.0,1
34.0,F,Widowed,High,2022-06-21,Complaint,Unresolved,2023-06-30,11.0,Mobile App,389.21,Clothing,2022-09,0.0,3
50.0,M,Married,Low,2022-11-19,Feedback,Resolved,2023-06-13,27.0,Mobile App,257.88,Books,2022-09,0.0,1
18.0,F,Married,Low,2022-03-21,Inquiry,Unresolved,2023-10-03,30.0,Online Banking,448.78,Electronics,2022-05,0.0,1
56.0,M,Married,High,2022-06-12,Complaint,Resolved,2023-05-11,18.0,Website,314.38,Clothing,2022-12,0.0,3
37.0,M,Married,Medium,2022-03-15,Complaint,Resolved,2023-05-02,43.0,Online Banking,101.96,Furniture,2022-01,1.0,2
64.0,M,Single,High,2022-10-21,Feedback,Unresolved,2023-07-24,4.0,Mobile App,184.39,Clothing,2022-04,0.0,3
60.0,F,Married,Medium,2022-11-21,Inquiry,Resolved,2023-06-11,6.0,Mobile App,194.45,Books,2022-03,0.0,2
69.0,M,Divorced,High,2022-08-04,Complaint,Unresolved,2023-01-13,22.0,Mobile App,313.38,Books,2022-09,0.0,3
58.0,F,Widowed,Low,2022-09-17,Complaint,Resolved,2023-11-25,2.0,Website,460.5,Groceries,2022-08,1.0,1
31.0,F,Widowed,Medium,2022-11-24,Complaint,Resolved,2023-03-01,47.0,Mobile App,315.06,Electronics,2022-03,0.0,2
48.0,F,Widowed,Low,2022-04-02,Complaint,Unresolved,2023-08-03,48.0,Online Banking,111.98,Groceries,2022-08,0.0,1
42.0,F,Single,Low,2022-04-12,Inquiry,Unresolved,2023-03-03,40.0,Website,127.97,Books,2022-07,0.0,1
20.0,M,Married,Low,2022-02-18,Inquiry,Unresolved,2023-08-29,32.0,Website,210.01,Clothing,2022-10,1.0,1
21.0,F,Widowed,High,2022-07-19,Complaint,Resolved,2023-06-18,39.0,Mobile App,356.54,Clothing,2022-08,0.0,3
48.0,M,Divorced,Low,2022-06-26,Complaint,Unresolved,2023-10-12,21.0,Website,332.46,Groceries,2022-11,1.0,1
52.0,F,Single,High,2022-08-03,Feedback,Unresolved,2023-05-04,8.0,Mobile App,383.48,Clothing,2022-11,0.0,3
61.0,M,Married,Medium,2022-11-27,Complaint,Resolved,2023-12-12,25.0,Website,242.66,Furniture,2022-12,0.0,2
31.0,F,Married,Low,2022-03-04,Feedback,Resolved,2023-10-22,41.0,Mobile App,240.24,Clothing,2022-07,0.0,1
66.0,F,Married,Medium,2022-10-15,Inquiry,Unresolved,2023-03-09,36.0,Mobile App,111.43,Furniture,2022-07,1.0,2
58.0,M,Married,Medium,2022-12-06,Feedback,Resolved,2023-11-27,4.0,Website,51.23,Electronics,2022-01,0.0,2
26.0,F,Single,High,2022-11-12,Feedback,Resolved,2023-09-23,15.0,Website,269.06,Books,2022-07,1.0,3
37.0,F,Divorced,Medium,2022-12-04,Feedback,Resolved,2023-03-05,28.0,Website,76.57,Clothing,2022-03,0.0,2
49.0,F,Married,High,2022-09-16,Complaint,Unresolved,2023-05-06,20.0,Website,298.83,Clothing,2022-12,0.0,3
26.0,F,Single,High,2022-04-24,Complaint,Resolved,2023-09-06,38.0,Website,212.9,Electronics,2022-10,0.0,3
44.0,F,Single,Medium,2022-07-09,Inquiry,Unresolved,2023-01-30,6.0,Online Banking,135.67,Furniture,2022-09,0.0,2
20.0,F,Divorced,Medium,2022-01-05,Inquiry,Unresolved,2023-04-22,30.0,Mobile App,471.59,Books,2022-04,0.0,2
21.0,F,Single,Medium,2022-09-16,Feedback,Resolved,2023-06-12,32.0,Online Banking,172.58,Electronics,2022-05,0.0,2
62.0,F,Single,High,2022-01-26,Complaint,Unresolved,2023-04-21,49.0,Online Banking,97.55,Electronics,2022-06,1.0,3
32.0,M,Widowed,High,2022-07-01,Inquiry,Resolved,2023-04-14,41.0,Online Banking,72.0,Electronics,2022-06,0.0,3
50.0,F,Widowed,Medium,2022-11-14,Inquiry,Resolved,2023-10-23,4.0,Online Banking,445.86,Groceries,2022-03,0.0,2
22.0,M,Divorced,High,2022-03-30,Complaint,Unresolved,2023-10-18,35.0,Mobile App,54.72,Electronics,2022-07,0.0,3
21.0,F,Widowed,Medium,2022-01-24,Inquiry,Resolved,2023-01-09,30.0,Mobile App,452.54,Books,2022-10,0.0,2
63.0,M,Single,High,2022-03-20,Inquiry,Unresolved,2023-03-29,49.0,Mobile App,198.88,Clothing,2022-04,0.0,3
29.0,M,Single,High,2022-02-09,Inquiry,Unresolved,2023-06-21,41.0,Mobile App,487.83,Clothing,2022-12,0.0,3
40.0,M,Divorced,Low,2022-08-30,Inquiry,Resolved,2023-04-01,22.0,Website,489.73,Clothing,2022-08,1.0,1
31.0,F,Single,Low,2022-11-25,Inquiry,Resolved,2023-02-15,2.0,Website,288.97,Clothing,2022-03,0.0,1
63.0,F,Divorced,Medium,2022-02-03,Inquiry,Resolved,2023-07-07,12.0,Website,426.1,Furniture,2022-10,0.0,2
29.0,M,Widowed,Low,2022-10-22,Complaint,Resolved,2023-05-11,34.0,Website,413.56,Furniture,2022-06,0.0,1
34.0,F,Widowed,High,2022-04-14,Inquiry,Resolved,2023-10-23,34.0,Website,269.85,Clothing,2022-03,0.0,3
42.0,F,Married,Medium,2022-11-17,Complaint,Resolved,2023-03-07,14.0,Website,495.59,Books,2022-01,0.0,2
47.0,M,Widowed,Low,2022-08-21,Feedback,Resolved,2023-01-22,39.0,Website,95.14,Groceries,2022-05,0.0,1
39.0,F,Married,Medium,2022-01-04,Inquiry,Unresolved,2023-03-16,39.0,Online Banking,200.11,Furniture,2022-03,1.0,2
64.0,M,Married,Medium,2022-09-13,Feedback,Resolved,2023-06-21,45.0,Online Banking,431.43,Books,2022-11,0.0,2
43.0,M,Married,High,2022-09-03,Inquiry,Unresolved,2023-01-08,6.0,Website,24.88,Groceries,2022-02,0.0,3
34.0,F,Single,Low,2022-03-21,Feedback,Resolved,2023-02-10,8.0,Online Banking,418.55,Groceries,2022-12,0.0,1
37.0,M,Married,High,2022-06-08,Inquiry,Unresolved,2023-08-14,27.0,Online Banking,439.79,Electronics,2022-08,1.0,3
51.0,F,Widowed,Medium,2022-03-29,Inquiry,Unresolved,2023-03-07,12.0,Mobile App,12.77,Groceries,2022-12,0.0,2
58.0,F,Divorced,Medium,2022-01-18,Feedback,Resolved,2023-04-16,21.0,Website,90.54,Electronics,2022-07,0.0,2
50.0,F,Widowed,Medium,2022-11-26,Complaint,Unresolved,2023-05-08,38.0,Online Banking,332.93,Furniture,2022-04,0.0,2
54.0,F,Divorced,Low,2022-04-04,Feedback,Resolved,2023-01-27,4.0,Mobile App,315.91,Furniture,2022-04,0.0,1
24.0,M,Widowed,High,2022-10-16,Inquiry,Unresolved,2023-11-27,25.0,Mobile App,312.32,Electronics,2022-03,0.0,3
39.0,F,Divorced,High,2022-10-05,Feedback,Resolved,2023-03-28,43.0,Website,339.69,Furniture,2022-01,0.0,3
